datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2022 4:00:00 AM,11/1/2022 12:00:00 AM,RFC,MIDATL,BC,BC,2492.796,True
11/1/2022 5:00:00 AM,11/1/2022 1:00:00 AM,RFC,MIDATL,BC,BC,2397.984,True
11/1/2022 6:00:00 AM,11/1/2022 2:00:00 AM,RFC,MIDATL,BC,BC,2349.744,True
11/1/2022 7:00:00 AM,11/1/2022 3:00:00 AM,RFC,MIDATL,BC,BC,2343.362,True
11/1/2022 8:00:00 AM,11/1/2022 4:00:00 AM,RFC,MIDATL,BC,BC,2397.553,True
11/1/2022 9:00:00 AM,11/1/2022 5:00:00 AM,RFC,MIDATL,BC,BC,2566.665,True
11/1/2022 10:00:00 AM,11/1/2022 6:00:00 AM,RFC,MIDATL,BC,BC,2866.291,True
11/1/2022 11:00:00 AM,11/1/2022 7:00:00 AM,RFC,MIDATL,BC,BC,3054.490,True
11/1/2022 12:00:00 PM,11/1/2022 8:00:00 AM,RFC,MIDATL,BC,BC,3059.214,True
11/1/2022 1:00:00 PM,11/1/2022 9:00:00 AM,RFC,MIDATL,BC,BC,3026.505,True
11/1/2022 2:00:00 PM,11/1/2022 10:00:00 AM,RFC,MIDATL,BC,BC,2985.637,True
11/1/2022 3:00:00 PM,11/1/2022 11:00:00 AM,RFC,MIDATL,BC,BC,2977.090,True
11/1/2022 4:00:00 PM,11/1/2022 12:00:00 PM,RFC,MIDATL,BC,BC,2953.576,True
11/1/2022 5:00:00 PM,11/1/2022 1:00:00 PM,RFC,MIDATL,BC,BC,2969.715,True
11/1/2022 6:00:00 PM,11/1/2022 2:00:00 PM,RFC,MIDATL,BC,BC,2989.049,True
11/1/2022 7:00:00 PM,11/1/2022 3:00:00 PM,RFC,MIDATL,BC,BC,3031.401,True
11/1/2022 8:00:00 PM,11/1/2022 4:00:00 PM,RFC,MIDATL,BC,BC,3106.542,True
11/1/2022 9:00:00 PM,11/1/2022 5:00:00 PM,RFC,MIDATL,BC,BC,3198.848,True
11/1/2022 10:00:00 PM,11/1/2022 6:00:00 PM,RFC,MIDATL,BC,BC,3322.581,True
11/1/2022 11:00:00 PM,11/1/2022 7:00:00 PM,RFC,MIDATL,BC,BC,3331.644,True
11/2/2022 12:00:00 AM,11/1/2022 8:00:00 PM,RFC,MIDATL,BC,BC,3213.582,True
11/2/2022 1:00:00 AM,11/1/2022 9:00:00 PM,RFC,MIDATL,BC,BC,3049.381,True
11/2/2022 2:00:00 AM,11/1/2022 10:00:00 PM,RFC,MIDATL,BC,BC,2821.783,True
11/2/2022 3:00:00 AM,11/1/2022 11:00:00 PM,RFC,MIDATL,BC,BC,2603.525,True
11/2/2022 4:00:00 AM,11/2/2022 12:00:00 AM,RFC,MIDATL,BC,BC,2452.258,True
11/2/2022 5:00:00 AM,11/2/2022 1:00:00 AM,RFC,MIDATL,BC,BC,2354.868,True
11/2/2022 6:00:00 AM,11/2/2022 2:00:00 AM,RFC,MIDATL,BC,BC,2306.246,True
11/2/2022 7:00:00 AM,11/2/2022 3:00:00 AM,RFC,MIDATL,BC,BC,2298.427,True
11/2/2022 8:00:00 AM,11/2/2022 4:00:00 AM,RFC,MIDATL,BC,BC,2359.044,True
11/2/2022 9:00:00 AM,11/2/2022 5:00:00 AM,RFC,MIDATL,BC,BC,2533.817,True
