station,Time UTC,tmpf,tmpc,dwpf,dwpc,relh,feel
BWI,11/1/20 0:54,47,8.33,37,2.78,68.27,46.9
BWI,11/1/20 1:54,46,7.78,38,3.33,73.18,43.77
BWI,11/1/20 2:54,46,7.78,36,2.22,67.9,42.39
BWI,11/1/20 3:54,45,7.22,38,3.33,76.01,43.55
BWI,11/1/20 4:54,46,7.78,38,3.33,73.18,44.69
BWI,11/1/20 5:54,47,8.33,38,3.33,70.73,46.9
BWI,11/1/20 6:54,46,7.78,41,5,82.58,46
BWI,11/1/20 7:54,47,8.33,41,5,79.82,46.9
BWI,11/1/20 8:54,46,7.78,42,5.56,86.16,46
BWI,11/1/20 9:54,48,8.89,43,6.11,82.72,46.98
BWI,11/1/20 10:54,48,8.89,43,6.11,82.72,48
BWI,11/1/20 11:54,49,9.44,43,6.11,79.98,48.9
BWI,11/1/20 12:54,50,10,45,7.22,82.86,50
BWI,11/1/20 13:54,52,11.11,46,7.78,79.92,52
BWI,11/1/20 14:54,52,11.11,48,8.89,86.17,52
BWI,11/1/20 15:01,52,11.11,48,8.89,86.17,52
BWI,11/1/20 15:54,52,11.11,49,9.44,89.13,52
BWI,11/1/20 16:26,52,11.11,49,9.44,89.13,52
BWI,11/1/20 16:54,52,11.11,49,9.44,89.13,52
BWI,11/1/20 17:54,54,12.22,51,10.56,89.88,54
BWI,11/1/20 18:30,54,12.22,52,11.11,92.92,54
BWI,11/1/20 18:54,55,12.78,52,11.11,89.59,55
BWI,11/1/20 19:54,57,13.89,53,11.67,86.77,57
BWI,11/1/20 20:54,58,14.44,52,11.11,80.67,57.9
BWI,11/1/20 21:54,56,13.33,52,11.11,86.71,55.9
BWI,11/1/20 22:29,53,11.67,50,10,89.18,53.1
BWI,11/1/20 22:54,55,12.78,50,10,83.2,55
BWI,11/1/20 23:54,54,12.22,38,3.33,54.34,54
BWI,11/2/20 0:54,52,11.11,30,-1.11,42.65,52
BWI,11/2/20 1:54,51,10.56,27,-2.78,38.99,51.1
BWI,11/2/20 2:54,47,8.33,24.1,-4.39,40.44,37.99
BWI,11/2/20 3:54,43,6.11,19,-7.22,37.81,33.98
BWI,11/2/20 4:54,41,5,19.9,-6.72,42.44,31.87
BWI,11/2/20 5:54,40,4.44,19,-7.22,42.62,30.15
BWI,11/2/20 6:54,39,3.89,19.9,-6.72,45.87,30.19
BWI,11/2/20 7:54,38,3.33,21,-6.11,50.18,29.13
BWI,11/2/20 8:54,38,3.33,21,-6.11,50.18,29.13
BWI,11/2/20 9:54,39,3.89,21.9,-5.61,49.93,29.54
BWI,11/2/20 10:54,39,3.89,23,-5,52.3,28.69
BWI,11/2/20 11:54,39,3.89,24.1,-4.39,54.77,30.19
BWI,11/2/20 12:54,42,5.56,25,-3.89,50.42,33.87
BWI,11/2/20 13:54,44,6.67,25,-3.89,46.7,35.68
BWI,11/2/20 14:54,45,7.22,25,-3.89,45.12,36.19
BWI,11/2/20 15:54,46,7.78,23,-5,39.96,37.73
BWI,11/2/20 16:54,47,8.33,21,-6.11,35.49,39.14
BWI,11/2/20 17:54,49,9.44,21.9,-5.61,34.2,42.69
BWI,11/2/20 18:54,49,9.44,19.9,-6.72,31.42,42.45
BWI,11/2/20 19:54,49,9.44,21,-6.11,32.93,42
BWI,11/2/20 20:54,48,8.89,19.9,-6.72,32.5,42.69
BWI,11/2/20 21:54,46,7.78,19.9,-6.72,35.04,41.36
BWI,11/2/20 22:54,45,7.22,19.9,-6.72,36.4,41.83
BWI,11/2/20 23:54,43,6.11,21,-6.11,41.17,39.46
BWI,11/3/20 0:54,41,5,21.9,-5.61,46.19,36.37
BWI,11/3/20 1:54,43,6.11,19,-7.22,37.81,38.78
BWI,11/3/20 2:54,43,6.11,18,-7.78,36.22,38.78
BWI,11/3/20 3:54,43,6.11,18,-7.78,36.22,37.19
BWI,11/3/20 4:54,43,6.11,18,-7.78,36.22,37.66
BWI,11/3/20 5:54,43,6.11,18,-7.78,36.22,37.19
