datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2023 4:00:00 AM,11/1/2023 12:00:00 AM,RFC,MIDATL,BC,BC,2719.981,True
11/1/2023 5:00:00 AM,11/1/2023 1:00:00 AM,RFC,MIDATL,BC,BC,2659.206,True
11/1/2023 6:00:00 AM,11/1/2023 2:00:00 AM,RFC,MIDATL,BC,BC,2641.365,True
11/1/2023 7:00:00 AM,11/1/2023 3:00:00 AM,RFC,MIDATL,BC,BC,2670.221,True
11/1/2023 8:00:00 AM,11/1/2023 4:00:00 AM,RFC,MIDATL,BC,BC,2793.011,True
11/1/2023 9:00:00 AM,11/1/2023 5:00:00 AM,RFC,MIDATL,BC,BC,3018.922,True
11/1/2023 10:00:00 AM,11/1/2023 6:00:00 AM,RFC,MIDATL,BC,BC,3372.769,True
11/1/2023 11:00:00 AM,11/1/2023 7:00:00 AM,RFC,MIDATL,BC,BC,3566.586,True
11/1/2023 12:00:00 PM,11/1/2023 8:00:00 AM,RFC,MIDATL,BC,BC,3550.136,True
11/1/2023 1:00:00 PM,11/1/2023 9:00:00 AM,RFC,MIDATL,BC,BC,3413.461,True
11/1/2023 2:00:00 PM,11/1/2023 10:00:00 AM,RFC,MIDATL,BC,BC,3244.103,True
11/1/2023 3:00:00 PM,11/1/2023 11:00:00 AM,RFC,MIDATL,BC,BC,3089.261,True
11/1/2023 4:00:00 PM,11/1/2023 12:00:00 PM,RFC,MIDATL,BC,BC,3011.460,True
11/1/2023 5:00:00 PM,11/1/2023 1:00:00 PM,RFC,MIDATL,BC,BC,2981.895,True
11/1/2023 6:00:00 PM,11/1/2023 2:00:00 PM,RFC,MIDATL,BC,BC,2981.547,True
11/1/2023 7:00:00 PM,11/1/2023 3:00:00 PM,RFC,MIDATL,BC,BC,3038.157,True
11/1/2023 8:00:00 PM,11/1/2023 4:00:00 PM,RFC,MIDATL,BC,BC,3206.752,True
11/1/2023 9:00:00 PM,11/1/2023 5:00:00 PM,RFC,MIDATL,BC,BC,3440.085,True
11/1/2023 10:00:00 PM,11/1/2023 6:00:00 PM,RFC,MIDATL,BC,BC,3676.813,True
11/1/2023 11:00:00 PM,11/1/2023 7:00:00 PM,RFC,MIDATL,BC,BC,3722.901,True
11/2/2023 12:00:00 AM,11/1/2023 8:00:00 PM,RFC,MIDATL,BC,BC,3671.844,True
11/2/2023 1:00:00 AM,11/1/2023 9:00:00 PM,RFC,MIDATL,BC,BC,3560.408,True
11/2/2023 2:00:00 AM,11/1/2023 10:00:00 PM,RFC,MIDATL,BC,BC,3339.654,True
11/2/2023 3:00:00 AM,11/1/2023 11:00:00 PM,RFC,MIDATL,BC,BC,3147.420,True
11/2/2023 4:00:00 AM,11/2/2023 12:00:00 AM,RFC,MIDATL,BC,BC,3034.194,True
11/2/2023 5:00:00 AM,11/2/2023 1:00:00 AM,RFC,MIDATL,BC,BC,2976.383,True
11/2/2023 6:00:00 AM,11/2/2023 2:00:00 AM,RFC,MIDATL,BC,BC,2956.944,True
11/2/2023 7:00:00 AM,11/2/2023 3:00:00 AM,RFC,MIDATL,BC,BC,3004.403,True
11/2/2023 8:00:00 AM,11/2/2023 4:00:00 AM,RFC,MIDATL,BC,BC,3117.935,True
11/2/2023 9:00:00 AM,11/2/2023 5:00:00 AM,RFC,MIDATL,BC,BC,3376.734,True
11/2/2023 10:00:00 AM,11/2/2023 6:00:00 AM,RFC,MIDATL,BC,BC,3772.539,True
11/2/2023 11:00:00 AM,11/2/2023 7:00:00 AM,RFC,MIDATL,BC,BC,4011.503,True
11/2/2023 12:00:00 PM,11/2/2023 8:00:00 AM,RFC,MIDATL,BC,BC,3917.803,True
11/2/2023 1:00:00 PM,11/2/2023 9:00:00 AM,RFC,MIDATL,BC,BC,3610.846,True
11/2/2023 2:00:00 PM,11/2/2023 10:00:00 AM,RFC,MIDATL,BC,BC,3322.335,True
11/2/2023 3:00:00 PM,11/2/2023 11:00:00 AM,RFC,MIDATL,BC,BC,3132.336,True
11/2/2023 4:00:00 PM,11/2/2023 12:00:00 PM,RFC,MIDATL,BC,BC,3016.169,True
11/2/2023 5:00:00 PM,11/2/2023 1:00:00 PM,RFC,MIDATL,BC,BC,2941.651,True
11/2/2023 6:00:00 PM,11/2/2023 2:00:00 PM,RFC,MIDATL,BC,BC,2916.325,True
11/2/2023 7:00:00 PM,11/2/2023 3:00:00 PM,RFC,MIDATL,BC,BC,2976.746,True
11/2/2023 8:00:00 PM,11/2/2023 4:00:00 PM,RFC,MIDATL,BC,BC,3119.089,True
11/2/2023 9:00:00 PM,11/2/2023 5:00:00 PM,RFC,MIDATL,BC,BC,3315.456,True
11/2/2023 10:00:00 PM,11/2/2023 6:00:00 PM,RFC,MIDATL,BC,BC,3558.501,True
11/2/2023 11:00:00 PM,11/2/2023 7:00:00 PM,RFC,MIDATL,BC,BC,3632.493,True
