Time_UTC,mw,tmpf,relh,feel
2020-11-01 04:00:00,2744.707,45.0,76.01,43.55
2020-11-01 05:00:00,2650.0,46.0,73.18,44.69
2020-11-01 06:00:00,2564.47,47.0,70.73,46.9
2020-11-01 07:00:00,2524.327,46.0,82.58,46.0
2020-11-01 08:00:00,2495.141,47.0,79.82,46.9
2020-11-01 09:00:00,2505.397,46.0,86.16,46.0
2020-11-01 10:00:00,2579.83,48.0,82.72,46.98
2020-11-01 11:00:00,2666.354,48.0,82.72,48.0
2020-11-01 12:00:00,2758.404,49.0,79.98,48.9
2020-11-01 13:00:00,2872.573,50.0,82.86,50.0
2020-11-01 14:00:00,3038.704,52.0,79.92,52.0
2020-11-01 15:00:00,3182.183,52.0,86.17,52.0
2020-11-01 16:00:00,3253.595,52.0,89.13,52.0
2020-11-01 17:00:00,3249.474,52.0,89.13,52.0
2020-11-01 18:00:00,3167.328,54.0,91.4,54.0
2020-11-01 19:00:00,3084.292,55.0,89.59,55.0
2020-11-01 20:00:00,3058.352,57.0,86.77,57.0
2020-11-01 21:00:00,3149.252,58.0,80.67,57.9
2020-11-01 22:00:00,3347.109,54.5,87.945,54.5
2020-11-01 23:00:00,3371.182,55.0,83.2,55.0
2020-11-02 00:00:00,3308.158,54.0,54.34,54.0
2020-11-02 01:00:00,3243.202,52.0,42.65,52.0
2020-11-02 02:00:00,3152.019,51.0,38.99,51.1
2020-11-02 03:00:00,2998.911,47.0,40.44,37.99
2020-11-02 04:00:00,2911.478,43.0,37.81,33.98
2020-11-02 05:00:00,2809.537,41.0,42.44,31.87
2020-11-02 06:00:00,2784.941,40.0,42.62,30.15
2020-11-02 07:00:00,2775.527,39.0,45.87,30.19
2020-11-02 08:00:00,2827.203,38.0,50.18,29.13
2020-11-02 09:00:00,2937.366,38.0,50.18,29.13
2020-11-02 10:00:00,3177.143,39.0,49.93,29.54
2020-11-02 11:00:00,3460.889,39.0,52.3,28.69
2020-11-02 12:00:00,3599.983,39.0,54.77,30.19
2020-11-02 13:00:00,3622.958,42.0,50.42,33.87
2020-11-02 14:00:00,3502.466,44.0,46.7,35.68
2020-11-02 15:00:00,3411.809,45.0,45.12,36.19
2020-11-02 16:00:00,3353.494,46.0,39.96,37.73
2020-11-02 17:00:00,3304.657,47.0,35.49,39.14
2020-11-02 18:00:00,3260.474,49.0,34.2,42.69
2020-11-02 19:00:00,3234.67,49.0,31.42,42.45
2020-11-02 20:00:00,3301.707,49.0,32.93,42.0
2020-11-02 21:00:00,3473.411,48.0,32.5,42.69
2020-11-02 22:00:00,3789.891,46.0,35.04,41.36
2020-11-02 23:00:00,3845.829,45.0,36.4,41.83
2020-11-03 00:00:00,3790.269,43.0,41.17,39.46
2020-11-03 01:00:00,3690.479,41.0,46.19,36.37
2020-11-03 02:00:00,3531.675,43.0,37.81,38.78
2020-11-03 03:00:00,3318.526,43.0,36.22,38.78
2020-11-03 04:00:00,3108.873,43.0,36.22,37.19
2020-11-03 05:00:00,2964.428,43.0,36.22,37.66
2020-11-03 06:00:00,2884.336,43.0,36.22,37.19
2020-11-03 07:00:00,2852.379,43.0,37.81,36.37
2020-11-03 08:00:00,2868.67,42.0,39.14,36.07
2020-11-03 09:00:00,2959.337,44.0,33.4,37.07
2020-11-03 10:00:00,3148.107,45.0,32.28,38.55
2020-11-03 11:00:00,3384.888,46.0,32.3,38.42
2020-11-03 12:00:00,3444.588,48.0,31.27,40.0
2020-11-03 13:00:00,3370.782,50.0,30.16,50.0
2020-11-03 14:00:00,3254.945,51.0,31.52,51.1
2020-11-03 15:00:00,3147.102,54.0,31.07,54.0
2020-11-03 16:00:00,3078.687,56.0,30.1,55.9
2020-11-03 17:00:00,3033.42,58.0,29.32,57.9
2020-11-03 18:00:00,3007.077,60.0,29.31,60.1
2020-11-03 19:00:00,3094.964,62.0,28.33,62.1
2020-11-03 20:00:00,3136.932,59.0,31.63,59.0
2020-11-03 21:00:00,3204.374,58.0,34.41,57.9
2020-11-03 22:00:00,3467.351,57.0,35.54,57.0
2020-11-03 23:00:00,3524.678,54.0,42.98,54.0
2020-11-04 00:00:00,3455.728,48.0,60.76,48.0
2020-11-04 01:00:00,3356.206,46.0,65.52,46.0
2020-11-04 02:00:00,3226.412,43.0,76.12,43.0
2020-11-04 03:00:00,3052.584,43.0,76.12,43.0
2020-11-04 04:00:00,2902.924,40.0,82.8,37.72
2020-11-04 05:00:00,2805.334,39.0,85.76,36.69
2020-11-04 06:00:00,2744.457,39.0,85.76,39.0
2020-11-04 07:00:00,2724.893,38.0,85.69,35.43
2020-11-04 08:00:00,2753.273,37.0,88.78,34.4
2020-11-04 09:00:00,2858.539,39.0,82.08,39.0
2020-11-04 10:00:00,3092.314,38.0,85.69,37.9
2020-11-04 11:00:00,3374.121,36.0,89.09,36.0
2020-11-04 12:00:00,3498.614,36.0,89.09,36.0
2020-11-04 13:00:00,3368.748,44.0,75.93,44.1
2020-11-04 14:00:00,3181.319,50.0,68.1,50.0
2020-11-04 15:00:00,3062.822,58.0,51.02,57.9
2020-11-04 16:00:00,3019.578,62.0,42.41,62.1
2020-11-04 17:00:00,2993.763,65.0,31.55,64.9
